time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,train/approx_kl,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/clip_fraction
82,971.2,7512,167936,374.99266635,22,0.0003,0.044975318,0.9859402179718018,0.2,10.605577387101949,0.9309662878513336,-0.002161905607499648,-0.6893065600655973,810,0.281005859375
83,971.2,7596,169984,384.83934424,22,0.0003,0.2112816,1.4587955474853516,0.2,9.054523115232588,0.8657948523759842,0.027750051717157477,-0.5578865277580917,820,0.2951171875
84,970.49,7681,172032,396.20583512999997,22,0.0003,0.035006866,1.80282723903656,0.2,11.405761086940766,0.8126870393753052,0.002854227094212547,-0.6188755098730325,830,0.248193359375
85,970.49,7764,174080,414.3536100899999,22,0.0003,0.0548081,2.181917667388916,0.2,10.765865506604314,0.6494979858398438,0.010176896324264818,-0.6213084508664906,840,0.291845703125
86,970.49,7970,176128,420.9115523599999,22,0.0003,0.05744859,1.6934140920639038,0.2,11.488107743114233,0.5595557987689972,0.004975568338704761,-0.7361788254231214,850,0.317578125
87,970.49,8056,178176,433.07220818,22,0.0003,0.04684087,1.2259448766708374,0.2,8.138714587315917,0.6601350605487823,0.012692759785568341,-0.6830473642796278,860,0.26826171875
88,970.08,8139,180224,453.09118887999995,22,0.0003,0.04206191,1.0394952297210693,0.2,11.739067305251956,0.8310873657464981,0.0007912197441328316,-0.5779083817265928,870,0.22802734375
89,970.08,8225,182272,464.7542504499999,22,0.0003,0.09046322,1.881653904914856,0.2,10.728099665790797,0.8283607214689255,-0.001174557982449187,-0.504412917047739,880,0.20751953125
90,968.96,8311,184320,481.9955801999999,22,0.0003,0.02917786,2.078279495239258,0.2,11.870627599209547,0.8235623240470886,-0.008429157342470716,-0.544978121574968,890,0.22109375
91,968.96,8397,186368,490.31711400999995,22,0.0003,0.031754397,2.230123281478882,0.2,7.914289238676429,0.9003015458583832,0.011164378657122142,-0.5731678849086166,900,0.226318359375
92,968.96,8484,188416,508.05671977,22,0.0003,0.022599483,0.7262684106826782,0.2,7.012509251758456,0.9274037107825279,-0.0090396860439796,-0.6082749145105482,910,0.2091796875
93,968.96,8566,190464,522.2828221699999,22,0.0003,0.038894556,1.256080985069275,0.2,7.959204786270857,0.8817917183041573,0.013849958381615578,-0.614619005471468,920,0.2939453125
94,968.3,8650,192512,537.73160214,22,0.0003,0.0466262,1.6535524129867554,0.2,17.047489370405675,0.807475745677948,0.00806330882187467,-0.5625456238165498,930,0.28466796875
95,968.3,8734,194560,546.64393881,22,0.0003,0.052391525,1.297512412071228,0.2,8.051767920702696,0.9020139127969742,0.0037708628093241713,-0.6764528037980199,940,0.27421875
96,968.3,8818,196608,551.3223224500001,22,0.0003,0.054488827,1.1355373859405518,0.2,6.547789262235165,0.9224026501178741,0.010997220239369198,-0.6956406131386756,950,0.323046875
97,968.3,8902,198656,551.57667652,22,0.0003,0.13709953,1.9541391134262085,0.2,8.00969613008201,0.910597950220108,-0.001807288268173579,-0.7312882076948881,960,0.3103515625
98,968.3,9111,200704,540.3522672,22,0.0003,0.07635682,0.9139565825462341,0.2,4.582811055332423,0.8483252674341202,0.010862638753314969,-0.453620535240043,970,0.181494140625
