algorithm,training_seed,timesteps,n_validation_tracks,mean_validation_reward,std_validation_reward_across_tracks,median_validation_reward,min_validation_reward,max_validation_reward,mean_validation_episode_length
dqn,12,175000,5,-88.9608218,3.8451464423561523,-87.381703,-94.444444,-84.90566,1000.0
dqn,12,200000,5,-91.6943722,3.356653361964828,-92.753623,-94.444444,-85.130112,1000.0
dqn,12,225000,5,-67.858127,21.14295446470921,-55.835962,-94.444444,-47.169811,1000.0
dqn,12,250000,5,-93.18136100000001,0.7679204140534365,-92.753623,-94.444444,-92.45283,1000.0
dqn,12,275000,5,91.0346578,87.03972459447198,52.173913,-2.208202,249.442379,1000.0
dqn,12,300000,5,61.433695,79.5645473755555,41.666667,-9.42029,215.98513,1000.0
dqn,12,325000,5,-87.4814672,5.403362748550034,-87.381703,-94.444444,-81.132075,1000.0
dqn,12,350000,5,-17.0722558,63.83646232266126,-50.928302,-63.508517,108.178439,426.6
dqn,12,375000,5,-28.1267094,25.56092078352095,-32.075472,-56.521739,18.959108,1000.0
dqn,12,400000,5,-27.102808600000003,12.525626139970404,-22.222222,-46.37224,-10.780669,1000.0
dqn,12,425000,5,-68.0204936,12.367757721813597,-71.608833,-83.333333,-50.943396,1000.0
dqn,12,450000,5,-86.362722,1.5358410243752483,-85.507246,-88.888889,-84.90566,1000.0
dqn,12,475000,5,-57.17234559999999,19.476528985630516,-49.275362,-90.536278,-36.111111,1000.0
dqn,12,500000,5,118.54439240000002,60.5375482982604,117.665615,34.403717,216.981132,873.4
dqn,12,525000,5,89.20777700000001,57.778703140178386,92.429022,19.444444,178.985507,1000.0
dqn,12,550000,5,62.9828182,147.802849135014,-23.913043,-61.111111,341.509434,1000.0
dqn,12,575000,5,94.965448,157.86692387692162,55.555556,-92.753623,341.509434,1000.0
dqn,12,600000,5,-17.7780104,17.64414400031984,-16.981132,-35.244444,13.756134,868.8
dqn,12,625000,5,-20.920715199999997,58.91468584851293,-34.782609,-81.072555,74.72119,1000.0
dqn,12,650000,5,330.0244016,197.7681675049086,375.836431,11.111111,549.056604,1000.0
dqn,12,675000,5,425.02430380000004,400.54568821011037,466.037736,-93.690852,866.542751,1000.0
dqn,12,700000,5,334.7094638,263.1317394766523,284.858044,61.111111,794.927536,1000.0
dqn,12,725000,5,232.51008919999998,237.62645252346397,394.444444,-92.45283,448.895899,992.8
dqn,12,750000,5,579.507025,166.31793627873614,524.535316,411.041009,849.275362,1000.0
dqn,12,775000,5,395.8820482,368.9854195763683,438.888889,-30.599369,836.802974,1000.0
dqn,12,800000,5,703.9216389999999,194.88029880469225,832.075472,392.113565,889.130435,1000.0
dqn,12,825000,5,426.97668919999995,261.34488250998317,303.122713,170.466667,908.8,956.6
dqn,12,850000,5,494.9885287999999,220.01875808928997,407.886435,266.666667,904.1,991.8
dqn,12,875000,5,42.042389199999995,222.13662474772437,-63.768116,-81.412639,486.111111,1000.0
dqn,12,900000,5,407.1603022,361.6953152334613,320.295584,-88.679245,900.3,965.6
dqn,12,925000,5,297.9344054,296.0171586807413,299.518868,-89.130435,814.498141,949.0
dqn,12,950000,5,422.2327348,379.5954519034681,448.895899,-33.333333,905.0,990.0
dqn,12,975000,5,217.1402456,401.02921561312553,-81.132075,-93.690852,900.5,999.0
dqn,12,1000000,5,-57.204108399999996,5.076897617115973,-55.390335,-63.768116,-50.0,1000.0
dqn,13,25000,5,-67.858127,21.14295446470921,-55.835962,-94.444444,-47.169811,1000.0
dqn,13,50000,5,-85.40358340000002,14.930406625872097,-92.565056,-93.690852,-55.555556,1000.0
dqn,13,75000,5,-81.6543524,2.255608240164024,-81.884058,-84.227129,-77.695167,1000.0
dqn,13,100000,5,-93.18136100000001,0.7679204140534365,-92.753623,-94.444444,-92.45283,1000.0
dqn,13,125000,5,-93.18136100000001,0.7679204140534365,-92.753623,-94.444444,-92.45283,1000.0
dqn,13,150000,5,-73.59678679999999,11.011442122077334,-71.608833,-92.565056,-62.264151,1000.0
dqn,13,175000,5,-93.18136100000001,0.7679204140534365,-92.753623,-94.444444,-92.45283,1000.0
dqn,13,200000,5,-77.41495699999999,3.53496356826392,-77.917981,-83.333333,-73.584906,1000.0
dqn,13,225000,5,-93.18136100000001,0.7679204140534365,-92.753623,-94.444444,-92.45283,1000.0
dqn,13,250000,5,-9.9228016,60.20317716910374,-52.898551,-62.14511,89.591078,1000.0
dqn,13,275000,5,-93.18136100000001,0.7679204140534365,-92.753623,-94.444444,-92.45283,1000.0
dqn,13,300000,5,-28.849892599999997,42.65077244774291,-50.443478,-75.908517,46.62119,340.4
dqn,13,325000,5,7.1461742,31.091405700180232,5.660377,-42.028986,56.133829,1000.0
dqn,13,350000,5,-10.4354184,42.43877983256042,-13.043478,-84.653943,32.075472,902.0
dqn,13,375000,5,169.9202832,65.26010143841968,130.283912,94.444444,249.442379,1000.0
dqn,13,400000,5,-26.288919800000002,38.09035441685283,-5.362776,-77.695167,13.207547,1000.0
dqn,13,425000,5,29.3625356,101.83544626797759,8.333333,-102.544795,167.657993,950.4
dqn,13,450000,5,-46.75345180000001,31.407246771784887,-68.728302,-76.253943,-0.171004,409.0
dqn,13,475000,5,-49.781925,26.52413067766731,-42.028986,-94.444444,-18.215613,1000.0
dqn,13,500000,5,113.18663719999999,175.76861164670396,201.115242,-94.444444,337.735849,1000.0
dqn,13,525000,5,107.32562520000002,104.2292785398357,89.591078,-16.666667,269.811321,1000.0
dqn,13,550000,5,-8.2388412,77.84734787819515,-16.981132,-92.753623,100.743494,1000.0
dqn,13,575000,5,-27.757027200000003,15.73540996273815,-33.085502,-42.028986,2.777778,1000.0
dqn,13,600000,5,-48.571695600000005,89.53024634072467,-92.753623,-94.444444,130.483271,1000.0
dqn,13,625000,5,209.17006300000003,129.55434750322067,201.115242,-14.826498,364.150943,1000.0
dqn,13,650000,5,-67.6155818,37.535828851583595,-86.111111,-89.130435,7.255521,1000.0
dqn,13,675000,5,69.2988144,209.01072181734165,-84.227129,-92.753623,431.598513,1000.0
dqn,13,700000,5,340.55072759999996,208.71281880399818,421.73913,-39.622642,557.992565,1000.0
dqn,13,725000,5,286.31305940000004,290.14005831240166,276.150943,-94.444444,784.057971,927.8
dqn,13,750000,5,406.56654799999995,187.60619547861677,472.222222,86.908696,650.929368,991.6
dqn,13,775000,5,-75.188397,11.438976614544169,-69.444444,-89.130435,-62.14511,1000.0
dqn,13,800000,5,288.5812846,272.91792250766906,286.6171,-46.37224,669.811321,1000.0
dqn,13,825000,5,329.7884852,166.855240572313,378.26087,13.888889,476.208178,1000.0
dqn,13,850000,5,-50.710634000000006,14.57557635949064,-50.943396,-72.222222,-29.36803,1000.0
dqn,13,875000,5,458.10097299999995,126.3203747521442,548.550725,253.312303,569.144981,1000.0
dqn,13,900000,5,117.5819266,220.2872186427268,-31.15942,-92.45283,476.208178,1000.0
dqn,13,925000,5,-51.5892468,18.999349202899907,-45.652174,-81.072555,-25.0,1000.0
dqn,13,950000,5,-54.6368082,37.192133843449405,-67.391304,-87.381703,13.888889,1000.0
dqn,13,975000,5,-47.7252116,53.15526385397414,-55.835962,-92.753623,52.416357,1000.0
dqn,13,1000000,5,-2.639478200000005,132.43988583791742,-45.652174,-93.690852,258.333333,1000.0
ppo,10,25000,5,-23.7550138,50.05759788123569,-56.154717,-69.253943,62.091078,322.0
ppo,10,50000,5,156.9360496,125.2405334214798,139.747634,0.933333,356.603774,729.2
ppo,10,75000,5,356.2241844,204.19531441930548,306.940063,123.048327,722.463768,1000.0
ppo,10,100000,5,719.0288241999999,135.8953361397571,775.471698,474.132492,847.95539,1000.0
ppo,10,125000,5,300.889576,199.96310208041456,313.945283,63.568773,650.0,846.4
ppo,10,150000,5,-86.362722,1.5358410243752483,-85.507246,-88.888889,-84.90566,1000.0
ppo,10,175000,5,-39.806444799999994,16.68813234025286,-36.908517,-69.444444,-23.913043,1000.0
ppo,10,200000,5,-36.8350138,50.39016002506334,-23.913043,-100.053943,37.591078,652.6
ppo,10,225000,5,106.14742840000001,103.69919485985403,65.775079,-17.966667,273.924528,763.4
ppo,10,250000,5,312.89413619999993,151.36241754235633,296.226415,119.444444,581.15942,1000.0
ppo,10,275000,5,229.68638719999998,264.54964876277785,117.848265,-36.166667,689.855072,823.4
ppo,10,300000,5,233.36550160000002,213.06963429052067,199.684543,-0.0,592.028986,1000.0
ppo,10,325000,5,39.2124576,56.649289388202874,8.333333,-9.42029,142.902208,1000.0
ppo,10,350000,5,147.83059980000002,170.3610036840825,82.156134,-24.528302,457.971014,1000.0
ppo,10,375000,5,313.1611864,110.6914485864663,268.02974,218.84058,530.188679,1000.0
ppo,10,400000,5,38.309953799999995,127.98781682450294,-39.622642,-49.526814,286.6171,1000.0
