time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,train/loss,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,rollout/exploration_rate,train/learning_rate
392,11723,1000.0,33,0.09800980985164642,392000,97874,-19.167824379999995,0.2552,0.0001
396,11841,1000.0,33,0.0023037083446979523,396000,98874,-18.90773551,0.24760000000000004,0.0001
400,12032,1000.0,33,0.08523779362440109,400000,99874,-19.140264220000002,0.24,0.0001
404,12146,1000.0,33,0.09683383256196976,404000,100874,-18.676877420000004,0.23239999999999994,0.0001
408,12260,1000.0,33,0.00508076511323452,408000,101874,-19.75322494,0.22480000000000022,0.0001
412,12376,1000.0,33,0.003532215254381299,412000,102874,-21.557310039999997,0.21720000000000017,0.0001
416,12492,1000.0,33,0.0014378188643604517,416000,103874,-22.721458659999993,0.20960000000000023,0.0001
420,12609,1000.0,33,0.0015362654812633991,420000,104874,-23.563622719999998,0.20200000000000018,0.0001
424,12726,1000.0,33,0.007401776500046253,424000,105874,-24.35796428,0.19440000000000013,0.0001
428,12910,1000.0,33,0.08383254706859589,428000,106874,-25.12360828,0.1868000000000002,0.0001
432,13028,1000.0,33,0.1516786366701126,432000,107874,-23.660438329999998,0.17920000000000014,0.0001
436,13146,1000.0,33,0.07395163923501968,436000,108874,-22.694938620000002,0.1716000000000002,0.0001
440,13260,998.94,33,0.01098764967173338,439894,109848,-25.181240129999996,0.16420140000000005,0.0001
444,13378,998.94,33,0.05694756656885147,443894,110848,-22.65353529,0.1566014,0.0001
448,13497,998.94,33,0.06391892582178116,447894,111848,-24.31132601,0.14900140000000006,0.0001
452,13689,998.94,33,0.2479812502861023,451894,112848,-24.620516029999997,0.1414014,0.0001
456,13805,998.94,33,0.023503506556153297,455894,113848,-24.759563869999997,0.13380139999999996,0.0001
460,13923,998.94,33,0.008118479512631893,459894,114848,-21.81431112,0.12620140000000002,0.0001
464,14040,998.94,33,0.014033285900950432,463894,115848,-22.276275830000003,0.11860139999999997,0.0001
468,14157,998.94,33,0.13695143163204193,467894,116848,-21.0237405,0.11100140000000003,0.0001
472,14274,998.94,33,0.0036665441002696753,471894,117848,-21.387677359999994,0.10340139999999998,0.0001
476,14464,998.94,32,0.08423882722854614,475894,118848,-20.8593556,0.09580139999999993,0.0001
480,14582,998.94,32,0.2518377900123596,479894,119848,-19.17539672,0.08820139999999999,0.0001
484,14681,992.33,32,0.1387001872062683,483233,120683,-17.744787350000003,0.08185730000000002,0.0001
488,14800,992.33,32,0.22236531972885132,487233,121683,-17.524356580000003,0.07425729999999997,0.0001
492,14917,992.33,32,0.04542647302150726,491233,122683,-15.36258417,0.06665730000000003,0.0001
496,15035,992.33,32,0.10792873799800873,495233,123683,-14.21647054,0.05905729999999998,0.0001
500,15156,992.33,32,0.09103137999773026,499233,124683,-12.62226893,0.05145729999999993,0.0001
504,15349,992.33,32,0.08742499351501465,503233,125683,-12.402132340000001,0.05,0.0001
508,15467,992.33,32,0.005255678668618202,507233,126683,-10.064550529999998,0.05,0.0001
512,15587,992.33,32,0.06572939455509186,511233,127683,-5.9118524799999985,0.05,0.0001
516,15705,992.33,32,0.009139124304056168,515233,128683,-2.33680641,0.05,0.0001
520,15824,992.33,32,0.19237937033176422,519233,129683,4.97505629,0.05,0.0001
524,15944,992.33,32,0.10059607028961182,523233,130683,8.914108320000002,0.05,0.0001
528,16141,992.33,32,0.2309725135564804,527233,131683,14.068439190000001,0.05,0.0001
532,16261,992.33,32,0.099481001496315,531233,132683,14.588847199999998,0.05,0.0001
536,16380,992.33,32,0.2425711750984192,535233,133683,16.350192110000002,0.05,0.0001
540,16500,993.39,32,0.017547309398651123,539233,134683,19.246381290000002,0.05,0.0001
544,16618,993.39,32,0.0008208990329876542,543233,135683,13.85968775,0.05,0.0001
548,16738,993.39,32,0.09633651375770569,547233,136683,21.543118,0.05,0.0001
552,16934,993.39,32,0.03057505376636982,551233,137683,27.003306130000002,0.05,0.0001
556,17052,993.39,32,0.18533287942409515,555233,138683,31.07028711,0.05,0.0001
560,17170,993.39,32,0.15592727065086365,559233,139683,31.977352330000002,0.05,0.0001
564,17289,993.39,32,0.18797773122787476,563233,140683,34.56914417,0.05,0.0001
568,17408,993.39,32,0.09122877568006516,567233,141683,36.43841976000001,0.05,0.0001
572,17526,993.39,32,0.06434221565723419,571233,142683,36.3722464,0.05,0.0001
576,17720,993.39,32,0.011686041951179504,575233,143683,37.26770227,0.05,0.0001
580,17838,993.39,32,0.23567308485507965,579233,144683,48.30465956999999,0.05,0.0001
584,17957,1000.0,32,0.2210797220468521,583233,145683,59.33711447999999,0.05,0.0001
588,18075,1000.0,32,0.24029448628425598,587233,146683,67.63545459000001,0.05,0.0001
592,18192,999.7,32,0.3310279846191406,591203,147675,70.22792055,0.05,0.0001
596,18310,999.7,32,0.09346519410610199,595203,148675,77.62332651000001,0.05,0.0001
