train/n_updates,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,train/loss,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/learning_rate
186528,997.82,748,29,24998,0.5666316747665405,746613,0.05,234.33257824999998,0.0001
187528,997.82,752,29,25203,0.20611128211021423,750613,0.05,231.75769642999995,0.0001
188528,997.82,756,29,25330,0.07316897064447403,754613,0.05,235.28581827999994,0.0001
189528,997.82,760,29,25459,0.24249723553657532,758613,0.05,235.14822416999996,0.0001
190528,997.82,764,29,25585,0.1400090754032135,762613,0.05,228.99990827000005,0.0001
191528,997.82,768,29,25713,0.05089637637138367,766613,0.05,227.91996234,0.0001
192528,1000.0,772,29,25839,0.1150113195180893,770613,0.05,222.90390733,0.0001
193528,1000.0,776,29,25967,0.1055465042591095,774613,0.05,221.20525907999996,0.0001
194528,1000.0,780,29,26168,0.14237429201602936,778613,0.05,218.06878082,0.0001
195528,1000.0,784,29,26294,0.4073253870010376,782613,0.05,215.90890889000002,0.0001
196528,1000.0,788,29,26420,0.1820477694272995,786613,0.05,214.63240237000005,0.0001
197528,1000.0,792,29,26545,0.08308254182338715,790613,0.05,210.4093544,0.0001
198528,1000.0,796,29,26672,0.10269129276275635,794613,0.05,208.31042775999998,0.0001
199528,1000.0,800,29,26798,0.2145986109972,798613,0.05,203.08099572000003,0.0001
200528,1000.0,804,29,27005,0.09186980873346329,802613,0.05,199.19459098,0.0001
201528,1000.0,808,29,27133,0.1373382955789566,806613,0.05,198.19564219000003,0.0001
202528,1000.0,812,29,27260,0.1927405595779419,810613,0.05,201.990864,0.0001
203528,1000.0,816,29,27388,0.131853848695755,814613,0.05,202.68712954000003,0.0001
204528,1000.0,820,29,27516,0.09906037896871567,818613,0.05,198.83692497,0.0001
205528,1000.0,824,29,27642,0.22309906780719757,822613,0.05,187.87550218999996,0.0001
206528,1000.0,828,29,27849,0.1206090897321701,826613,0.05,180.24893727000003,0.0001
207528,1000.0,832,29,27977,0.12456205487251282,830613,0.05,175.51493584,0.0001
208528,1000.0,836,29,28105,0.4032873213291168,834613,0.05,168.16469816,0.0001
209528,1000.0,840,29,28234,0.06711986660957336,838613,0.05,153.32555367,0.0001
210528,1000.0,844,29,28361,0.09147118031978607,842613,0.05,143.81907622999998,0.0001
211528,1000.0,848,29,28489,0.10783996433019638,846613,0.05,135.14177021,0.0001
212528,1000.0,852,29,28694,0.20898105204105377,850613,0.05,133.01184225999998,0.0001
213528,1000.0,856,29,28820,0.02547827921807766,854613,0.05,126.79144692,0.0001
214528,1000.0,860,29,28949,0.047138720750808716,858613,0.05,128.86155399999998,0.0001
215528,1000.0,864,29,29077,0.06366661190986633,862613,0.05,126.29952881999998,0.0001
216528,1000.0,868,29,29204,0.13348893821239471,866613,0.05,126.22508569999998,0.0001
217528,1000.0,872,29,29332,0.16575637459754944,870613,0.05,126.01700213999999,0.0001
218528,1000.0,876,29,29459,0.015785852447152138,874613,0.05,125.20057406,0.0001
219528,1000.0,880,29,29663,0.10717768222093582,878613,0.05,130.55675045,0.0001
220528,1000.0,884,29,29791,0.2556294798851013,882613,0.05,132.82703464000002,0.0001
221528,1000.0,888,29,29919,0.04201380908489227,886613,0.05,128.68937204,0.0001
222528,1000.0,892,29,30048,0.08452814817428589,890613,0.05,127.83971959,0.0001
223528,1000.0,896,29,30176,0.18465915322303772,894613,0.05,131.95156051,0.0001
224528,1000.0,900,29,30305,0.18068674206733704,898613,0.05,134.40629335999998,0.0001
225528,1000.0,904,29,30512,0.09704793989658356,902613,0.05,133.83579419999998,0.0001
226528,1000.0,908,29,30641,0.2512979507446289,906613,0.05,134.48106395,0.0001
227528,1000.0,912,29,30768,0.05886024609208107,910613,0.05,131.17583761000003,0.0001
228528,1000.0,916,29,30897,0.0911286324262619,914613,0.05,126.92763699999999,0.0001
229528,1000.0,920,29,31022,0.34495559334754944,918613,0.05,126.92215025999998,0.0001
230528,1000.0,924,29,31149,0.17580635845661163,922613,0.05,126.33868158,0.0001
231528,1000.0,928,29,31353,0.05984668433666229,926613,0.05,117.83389991,0.0001
232528,1000.0,932,29,31479,0.20895349979400635,930613,0.05,116.01486736000001,0.0001
233528,1000.0,936,29,31606,0.04584687203168869,934613,0.05,107.78411160000002,0.0001
234528,1000.0,940,29,31733,0.0364728607237339,938613,0.05,104.60991096,0.0001
235528,1000.0,944,29,31860,0.11276591569185257,942613,0.05,98.42023434,0.0001
236528,1000.0,948,29,31988,0.13908179104328156,946613,0.05,92.10694197000001,0.0001
237528,1000.0,952,29,32195,0.03611175715923309,950613,0.05,97.70227646,0.0001
238528,1000.0,956,29,32323,0.030652416869997978,954613,0.05,96.56339046,0.0001
239528,1000.0,960,29,32450,0.05020968243479729,958613,0.05,88.12371749,0.0001
240528,1000.0,964,29,32577,0.016119759529829025,962613,0.05,82.65801765,0.0001
241528,1000.0,968,29,32705,0.019691063091158867,966613,0.05,79.38542045,0.0001
242528,1000.0,972,29,32832,0.12761272490024567,970613,0.05,76.76921545999998,0.0001
243528,1000.0,976,29,32958,0.07435537874698639,974613,0.05,76.19663399999999,0.0001
244528,1000.0,980,29,33160,0.07181856036186218,978613,0.05,66.39663704,0.0001
245528,1000.0,984,29,33288,0.07804255932569504,982613,0.05,61.66407147999999,0.0001
246528,1000.0,988,29,33413,0.12479446828365326,986613,0.05,66.03825515999999,0.0001
247528,1000.0,992,29,33540,0.09704111516475677,990613,0.05,67.98729273000001,0.0001
248505,999.08,996,29,33663,0.07746315747499466,994521,0.05,68.01862814,0.0001
249505,999.08,1000,29,33790,0.14579744637012482,998521,0.05,65.71860852,0.0001
