time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/value_loss
13,57,1000.0,518144,317.78814765000004,8845,-0.9334010399878025,0.9939891551621258,0.04148125,-0.01404914015874965,0.2,0.0003,2520,0.2505859375,0.16307443380355835,1.1107800655066966
13,58,1000.0,520192,323.19956537,8948,-0.6483918720856309,0.9658062569797039,0.0830546,-0.01607460992090637,0.2,0.0003,2530,0.350732421875,0.414579838514328,3.0972290127538145
13,59,1000.0,522240,330.50775035,9050,-0.8203925894573331,0.9731502737849951,0.044226784,-0.009567144454922526,0.2,0.0003,2540,0.261474609375,0.43432480096817017,2.893355628941208
13,60,1000.0,524288,335.90524081,9149,-0.5687819273211062,0.9334554597735405,0.034126673,-0.001455215578607749,0.2,0.0003,2550,0.26953125,0.48447057604789734,5.099131893739104
13,61,1000.0,526336,333.91210123,9403,-0.9768951205536723,0.9714586306363344,0.052554566,-0.021089666266925634,0.2,0.0003,2560,0.311279296875,0.09296607226133347,1.4810528054833412
13,62,1000.0,528384,333.01833797000006,9503,-0.8741173328831792,0.9800169132649899,0.046221092,-0.009655798111634795,0.2,0.0003,2570,0.267431640625,0.16830357909202576,1.9628174604848028
13,63,1000.0,530432,338.47424791000003,9613,-1.075716356188059,0.9709413610398769,0.049572937,-0.01162422267079819,0.2,0.0003,2580,0.306787109375,0.08897597342729568,0.736592510691844
13,64,1000.0,532480,343.87786830000005,9719,-0.7195350425317883,0.9167018532752991,0.07669296,-0.024006557182292453,0.2,0.0003,2590,0.309716796875,0.6733336448669434,2.8779996301047506
13,65,1000.0,534528,345.91555400000004,9822,-0.723266901820898,0.9572323001921177,0.026123509,-0.005348129033518489,0.2,0.0003,2600,0.222802734375,0.29560914635658264,1.7217693746089935
13,66,1000.0,536576,347.66580661,9922,-0.6703493284061551,0.9799688830971718,0.029585725,-0.015619234567566309,0.2,0.0003,2610,0.2171875,0.3812016248703003,1.663388337753713
13,67,1000.0,538624,349.91388314000005,10021,-0.7987106317654252,0.9742406215518713,0.044420913,-0.013953471985587385,0.2,0.0003,2620,0.30498046875,0.1795109659433365,2.639365051686764
13,68,1000.0,540672,348.94094028,10123,-0.8541559176519513,0.9822636190801859,0.052081157,-0.020921236969297752,0.2,0.0003,2630,0.30634765625,0.2150958627462387,1.508752433443442
13,69,1000.0,542720,352.1155778099999,10221,-0.763345785997808,0.9844950148835778,0.035566725,-0.015803762689756695,0.2,0.0003,2640,0.24638671875,0.44824084639549255,1.9131998910568655
13,70,1000.0,544768,353.24333344,10319,-0.5904953331686557,0.9634535424411297,0.054201186,-0.007109698878775816,0.2,0.0003,2650,0.292626953125,0.4112476110458374,4.650799658149481
13,71,1000.0,546816,345.31036946000006,10418,-0.6511932034976781,0.9594890512526035,0.04688837,-0.009307404618448345,0.2,0.0003,2660,0.250634765625,0.29016417264938354,5.456654616445303
14,72,1000.0,548864,346.28347893000006,10518,-0.7536753982305526,0.9814229980111122,0.058042273,-0.004436992363480385,0.2,0.0003,2670,0.28916015625,0.240291029214859,2.582972852420062
13,73,1000.0,550912,353.7476497,10768,-0.650466506369412,0.9712012819945812,0.06917566,-0.009999357345805038,0.2,0.0003,2680,0.232177734375,0.9295200109481812,4.890810878761113
13,74,1000.0,552960,345.62610050999996,10868,-0.7767176555469633,0.9822844099253416,0.053327765,-0.02605748835776467,0.2,0.0003,2690,0.254248046875,0.1983184665441513,1.8881212172098458
14,75,1000.0,555008,346.89174801999997,10969,-0.8957021305337548,0.9866176564246416,0.04072593,-0.015221318409021477,0.2,0.0003,2700,0.248876953125,0.2832012176513672,1.3035470658913255
14,76,1000.0,557056,343.37728135000003,11067,-1.0526400124654174,0.95219986140728,0.046584815,-0.019962662560283208,0.2,0.0003,2710,0.32197265625,0.1432972401380539,1.52934405002743
14,77,1000.0,559104,348.30466140000004,11169,-0.553254924248904,0.9008436426520348,0.031956308,-0.022374087751086336,0.2,0.0003,2720,0.21318359375,0.18827581405639648,2.3931910916231574
14,78,1000.0,561152,344.45029052000007,11274,-0.4493744881823659,0.9374606609344482,0.04280755,-0.015058145308285021,0.2,0.0003,2730,0.210986328125,0.31710031628608704,2.4912613346241415
14,79,1000.0,563200,348.32502742,11374,-0.7965661309659481,0.984351746737957,0.032296143,-0.022466953351977282,0.2,0.0003,2740,0.22578125,0.12239406257867813,1.340507117845118
14,80,1000.0,565248,342.8764316599999,11474,-0.7446971092373132,0.9874235894531012,0.03659279,-0.007431441900553182,0.2,0.0003,2750,0.234130859375,0.13900388777256012,1.5854595676995813
14,81,1000.0,567296,340.18445236,11576,-0.7369627358391881,0.9866471393033862,0.050800465,-0.02616713064344367,0.2,0.0003,2760,0.226123046875,0.03913373872637749,1.197361886082217
14,82,1000.0,569344,340.60614308,11665,-0.7262766655534506,0.9722009059041739,0.04198117,-0.020419498831324746,0.2,0.0003,2770,0.267529296875,0.2193947732448578,2.1053271676413714
14,83,1000.0,571392,343.16437957,11752,-0.7707472907379269,0.9851239630952477,0.041335166,-0.01989767540289904,0.2,0.0003,2780,0.25791015625,0.23203787207603455,1.8548898225650192
14,84,1000.0,573440,343.98336941,11839,-0.8692036462947726,0.9904067991301417,0.04445624,0.003524647216545418,0.2,0.0003,2790,0.283837890625,0.21485376358032227,1.4063759445678443
14,85,1000.0,575488,339.48497842000006,12055,-0.6456138952635229,0.9627816788852215,0.057530195,-0.011376587273844052,0.2,0.0003,2800,0.283251953125,0.4120006263256073,3.985381519794464
14,86,1000.0,577536,337.7755725300001,12141,-0.9938579615205526,0.985841223038733,0.046886995,-0.013876132834411692,0.2,0.0003,2810,0.27216796875,0.21963444352149963,1.1011962909717112
14,87,1000.0,579584,323.93826269,12227,-0.7618605457246304,0.9645284861326218,0.05061577,-0.007221379055408761,0.2,0.0003,2820,0.288330078125,0.5259200930595398,3.0410827551968396
14,88,1000.0,581632,320.78229649,12314,-0.8109933143481612,0.978137793019414,0.07929445,-0.00833185758383479,0.2,0.0003,2830,0.303076171875,0.10131557285785675,1.100099238054827
14,89,1000.0,583680,317.12863630000004,12400,-0.8297193957492709,0.9858713084831834,0.045190558,-0.013128218374913559,0.2,0.0003,2840,0.266455078125,0.18215139210224152,1.7185594241134823
14,90,1000.0,585728,316.48809040000003,12485,-0.8682068713009358,0.9874164648354053,0.040075988,-0.009618051926372573,0.2,0.0003,2850,0.238623046875,0.22584258019924164,1.2561635861406102
14,91,1000.0,587776,310.34007693,12572,-0.6598419573158025,0.9763830062001944,0.03243214,-0.006585874033771688,0.2,0.0003,2860,0.217236328125,0.39079806208610535,2.757481989823282
14,92,1000.0,589824,307.76670828,12660,-0.8471687488257885,0.9851694712415338,0.05963101,-0.027191481128102168,0.2,0.0003,2870,0.275048828125,0.10579216480255127,0.8692416187608615
14,93,1000.0,591872,311.21987825,12747,-0.8892685085535049,0.9787437152117491,0.04277709,-0.014176166623656172,0.2,0.0003,2880,0.287451171875,0.2486787885427475,1.8213692953810097
14,94,1000.0,593920,309.40529248,12835,-0.711291192099452,0.9851926630362868,0.05290169,-0.012689270105329341,0.2,0.0003,2890,0.252001953125,0.18636244535446167,1.4941838178317994
15,95,1000.0,595968,306.88524171,12920,-0.6664480115287006,0.9628481715917587,0.0547499,-0.02078363565960899,0.2,0.0003,2900,0.2822265625,0.3044270873069763,2.612140117119998
15,96,1000.0,598016,314.19612151,13005,-0.8650351155549287,0.9861789885908365,0.046389937,-0.016766044904943555,0.2,0.0003,2910,0.2923828125,0.17630119621753693,1.3430873630102724
15,97,1000.0,600064,318.99630995,13222,-0.6166903625242413,0.9222191423177719,0.038372293,-0.010743783815996721,0.2,0.0003,2920,0.269287109375,0.35307472944259644,3.4828279945999383
15,98,1000.0,602112,320.00589388000003,13311,-0.7553527858108282,0.986479738727212,0.049847618,-0.008943135316076222,0.2,0.0003,2930,0.27607421875,0.14905402064323425,2.133133199810982
15,99,1000.0,604160,322.02712862000004,13407,-0.8162649374455213,0.9807451479136944,0.035137013,-0.012734650461061392,0.2,0.0003,2940,0.26025390625,0.2455090880393982,2.120646910183132
15,100,1000.0,606208,324.51197554000004,13495,-0.7160691952332854,0.9727368485182524,0.03722858,-0.018203281149908435,0.2,0.0003,2950,0.27890625,0.3776591420173645,2.691662315092981
15,101,1000.0,608256,320.74084556,13580,-0.7535051491111517,0.9770988449454308,0.049610123,-0.01432516201020917,0.2,0.0003,2960,0.276904296875,0.20515921711921692,2.1864603143185377
15,102,1000.0,610304,326.71746146000004,13664,-0.7818702906370163,0.9906829362735152,0.04395979,-0.013450416919658892,0.2,0.0003,2970,0.25869140625,0.5203016400337219,1.3936887053772806
15,103,1000.0,612352,329.59949472,13750,-0.6280921998433768,0.9836248215287924,0.03472718,-0.01416697377571836,0.2,0.0003,2980,0.2294921875,0.5072169899940491,2.695235840417445
15,104,1000.0,614400,327.54200166000004,13847,-0.6319419101811945,0.9334115833044052,0.04504459,-0.005803224664123263,0.2,0.0003,2990,0.28896484375,0.4793238937854767,4.318297688663006
15,105,1000.0,616448,334.65917582000003,13959,-0.8619086559861898,0.9899795725941658,0.052933812,-0.01777576709719142,0.2,0.0003,3000,0.2591796875,0.21173125505447388,2.086851703375578
15,106,1000.0,618496,338.2583942499999,14055,-0.8333829421550035,0.989271242171526,0.038813367,-0.017395104045863263,0.2,0.0003,3010,0.23720703125,0.31489208340644836,2.0086868086829783
15,107,1000.0,620544,347.3280320799999,14154,-0.6364509504288435,0.9589556083083153,0.053987075,-0.016840138428960927,0.2,0.0003,3020,0.258251953125,0.38997891545295715,3.887524192966521
15,108,1000.0,622592,336.0295432299999,14256,-0.5492335377261043,0.7062509059906006,0.050289936,-0.017690398725972046,0.2,0.0003,3030,0.2578125,0.8626569509506226,2.1900859750807284
15,109,1000.0,624640,343.45034085999987,14355,-1.0442650537937879,0.9898821776732802,0.045444388,-0.01946493978612125,0.2,0.0003,3040,0.283837890625,0.06928704679012299,0.6413624335662462
15,110,1000.0,626688,345.4589956299999,14606,-0.6754880247637629,0.9754357468336821,0.04656525,-0.015721044802921823,0.2,0.0003,3050,0.277880859375,0.4451441168785095,2.008390535414219
15,111,1000.0,628736,351.20960286,14703,-0.7672816896811128,0.9900485128164291,0.04634619,-0.018871894841868197,0.2,0.0003,3060,0.2701171875,0.1626785695552826,1.6784506468102336
15,112,1000.0,630784,357.0269021300001,14805,-0.8493734078481794,0.9897065963596106,0.035302144,-0.01271520470327232,0.2,0.0003,3070,0.27265625,0.3545226454734802,1.600515692308545
15,113,1000.0,632832,358.28177158000005,14913,-0.534318168554455,0.8653033077716827,0.044932432,-0.01332576652566786,0.2,0.0003,3080,0.2498046875,0.6864951848983765,3.5185195902362465
15,114,1000.0,634880,361.66997689,15041,-0.7396348807960749,0.9915952049195766,0.05049655,-0.014648541214410216,0.2,0.0003,3090,0.261572265625,0.2941521406173706,1.6718770453706384
15,115,1000.0,636928,369.87503137,15217,-0.538557118922472,0.8743538558483124,0.04534673,-0.008655294601339847,0.2,0.0003,3100,0.22333984375,0.2707180380821228,2.875586343370378
15,116,1000.0,638976,368.8820519000001,15389,-0.6498078286647797,0.9745801258832216,0.039826587,-0.01037326255463995,0.2,0.0003,3110,0.27919921875,0.6047172546386719,2.7252219690009953
15,117,1000.0,641024,373.58892081000005,15569,-0.7561148742213846,0.9840463846921921,0.057496116,-0.008178671623318224,0.2,0.0003,3120,0.277587890625,0.4836854934692383,1.9811541493982077
15,118,1000.0,643072,362.65991979,15747,-0.7802627425640821,0.9729608986526728,0.046932362,-0.01808561678917613,0.2,0.0003,3130,0.25166015625,0.5142455697059631,3.0186088318936526
15,119,1000.0,645120,361.64197537,15925,-0.9190254013985395,0.9925162964500487,0.03730026,-0.012891228197258898,0.2,0.0003,3140,0.196923828125,0.07114715129137039,0.9831629289779812
15,120,1000.0,647168,361.76399557999997,16099,-0.945606910996139,0.9878762206062675,0.049615294,-0.020022572961170226,0.2,0.0003,3150,0.281005859375,0.09029144793748856,1.1728427389170974
15,121,1000.0,649216,359.35643657,16281,-0.8096205487847328,0.9755975548177958,0.042094044,-0.006922705544275232,0.2,0.0003,3160,0.2580078125,0.46229156851768494,2.125148256961256
14,122,1000.0,651264,352.73094604000005,16742,-0.9890250694006681,0.9868935970589519,0.042150002,-0.02489030264405301,0.2,0.0003,3170,0.24677734375,0.09910409152507782,1.2481976930517704
