rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance
991.94,141.080954,54,3051,110592,36,0.0003,-0.8178447650745511,530,4.375040662288666,0.2,0.30419921875,0.004704087591380812,0.05533074,0.6389694213867188,0.7398095726966858
991.94,143.0422509,55,3100,112640,36,0.0003,-1.0833116112276913,540,4.759469944611192,0.2,0.31728515625,0.006558520757243969,0.051165774,1.3509821891784668,0.6333000957965851
991.94,145.00329262000002,56,3149,114688,36,0.0003,-0.9987479411065578,550,2.866745952516794,0.2,0.32822265625,-0.007884860214835499,0.17916688,1.356727123260498,0.8353323340415955
991.94,149.95316842999998,57,3198,116736,36,0.0003,-1.0712681138888,560,2.4595015285536648,0.2,0.251123046875,-0.00908391976263374,0.025137085,0.33499574661254883,0.9495073780417442
991.94,152.52918829999996,58,3248,118784,36,0.0003,-0.8499941155314445,570,3.426382386125624,0.2,0.1908203125,-0.004454876441741362,0.03178263,0.795383632183075,0.9661956876516342
991.94,163.11195401,59,3297,120832,36,0.0003,-0.9631945157423616,580,1.7153162943199276,0.2,0.247314453125,-0.003058798062556889,0.037617244,0.46971672773361206,0.9765205960720778
991.94,172.22690623000003,60,3346,122880,36,0.0003,-0.5839604071341455,590,3.7391797352582214,0.2,0.15703125,-0.0017201065049448517,0.04320292,0.6963497400283813,0.9600393623113632
991.94,175.46705243000005,61,3395,124928,36,0.0003,-0.874860437400639,600,3.3532829804345967,0.2,0.19375,-0.01486027497885516,0.031110363,0.2308826744556427,0.9729806426912546
991.94,185.79938825000002,62,3519,126976,36,0.0003,-0.7068934049457312,610,2.566319245658815,0.2,0.206640625,0.00688634318576078,0.023926072,0.6833785176277161,0.919498436152935
991.94,192.58410697000002,63,3568,129024,36,0.0003,-0.521368701569736,620,4.723135975934565,0.2,0.160791015625,-0.0001903623779071495,0.028549386,0.8092936277389526,0.9075384140014648
991.94,202.96649415,64,3618,131072,36,0.0003,-0.5869176647625863,630,4.032273179106414,0.2,0.208642578125,0.0028530691197374836,0.039142154,0.6372423768043518,0.9612202122807503
991.94,206.76049665,65,3667,133120,36,0.0003,-0.7313803881406784,640,3.551026452332735,0.2,0.19033203125,-0.0113661095048883,0.030642577,0.5840122699737549,0.9518045969307423
991.94,210.70959775,66,3716,135168,36,0.0003,-1.0739082105457782,650,1.5035038392059505,0.2,0.202783203125,-0.016583988469210453,0.051351942,0.1801372617483139,0.9768799152225256
991.94,213.82617442000003,67,3766,137216,36,0.0003,-0.9694724643602968,660,2.5631013702601195,0.2,0.21943359375,0.006850988876249175,0.022742435,0.6058683395385742,0.8226544111967087
991.94,213.66057172,68,3815,139264,36,0.0003,-0.9611320257186889,670,1.6744859115220607,0.2,0.18583984375,-0.004157783059054054,0.029396076,0.2790619730949402,0.9686142690479755
991.94,220.84718815999997,69,3865,141312,36,0.0003,-0.7817709742113947,680,1.4122974105644972,0.2,0.20341796875,0.007914116448955611,0.034010254,0.12872624397277832,0.9543476514518261
991.94,231.03256369,70,3914,143360,36,0.0003,-0.6318014226853848,690,3.8375071229413154,0.2,0.1720703125,0.0014654336089733988,0.023767546,1.0488044023513794,0.7046899497509003
991.94,238.17766926000002,71,3963,145408,36,0.0003,-0.6557043834589422,700,3.639171894080937,0.2,0.171240234375,0.0006225098768481985,0.022868453,0.8509241342544556,0.8084674030542374
991.94,241.13223546999998,72,4012,147456,36,0.0003,-0.8956455642357468,710,3.7506943751126527,0.2,0.205615234375,-0.007129422677098774,0.019156199,0.9633601307868958,0.8959208726882935
991.94,253.21897215999996,73,4062,149504,36,0.0003,-0.944563239812851,720,1.1595448091626168,0.2,0.14736328125,-0.004961222494603135,0.03672452,0.22869832813739777,0.9913537222892046
991.94,264.74971024999996,74,4193,151552,36,0.0003,-0.40646574408747255,730,4.750944061204791,0.2,0.1580078125,-0.006505913204455283,0.028507747,0.8980045914649963,0.8804081454873085
991.94,278.70807705000004,75,4246,153600,36,0.0003,-0.5506600474007428,740,3.187999931909144,0.2,0.166064453125,-0.008986376084794755,0.019119877,0.5589190125465393,0.9785906001925468
991.94,289.10115377,76,4295,155648,36,0.0003,-0.5326014426536858,750,6.435815682634711,0.2,0.181298828125,-0.013297856929420959,0.03211505,1.1866486072540283,0.9630968123674393
991.94,301.32017285,77,4345,157696,36,0.0003,-0.6074924079701305,760,5.409002376720309,0.2,0.1482421875,-0.005423199971846771,0.017070528,1.2606232166290283,0.9724713694304228
991.94,306.33374675,78,4396,159744,36,0.0003,-0.44912880957126616,770,4.533698286116123,0.2,0.1658203125,-0.0015254454905516469,0.028923366,0.593710720539093,0.9528782479465008
991.94,321.9559117499999,79,4447,161792,36,0.0003,-0.8591234643012285,780,4.339847593195737,0.2,0.2087890625,-0.010273716958181467,0.0421696,0.6868299841880798,0.9598941281437874
991.94,338.48266993,80,4497,163840,36,0.0003,-0.39820796716958284,790,5.89467035792768,0.2,0.172607421875,-0.00956835189863341,0.04245326,1.189154863357544,0.680866003036499
991.94,350.46476453,81,4548,165888,36,0.0003,-0.38089806702919304,800,5.641182646155357,0.2,0.19833984375,0.014640200964640826,0.055872053,1.633484959602356,0.7642544060945511
991.94,363.2850762300001,82,4598,167936,36,0.0003,-0.6393907959572971,810,3.2257580984383822,0.2,0.212841796875,-0.002242619048047345,0.033291206,0.8709201216697693,0.9663312062621117
991.94,369.92257413,83,4649,169984,36,0.0003,-0.7543162474408746,820,2.5352553449571134,0.2,0.24150390625,-0.003918009879998863,0.03886022,0.944246768951416,0.9847657708451152
991.94,377.02061247,84,4700,172032,36,0.0003,-0.7447716478258372,830,6.453139876946807,0.2,0.2326171875,0.0036805838415602922,0.052965425,0.6194431185722351,0.9613601304590702
991.94,384.54715123999995,85,4772,174080,36,0.0003,-0.8666278690099716,840,1.9131514271721244,0.2,0.146875,-0.013471394138468895,0.036327854,0.2541735768318176,0.9805534072220325
991.62,399.02081790999995,86,4933,176128,35,0.0003,-0.6089584194123745,850,6.988750493526458,0.2,0.21787109375,-0.004158096711034886,0.04598718,1.1017029285430908,0.9588560089468956
991.62,408.93027263,87,4991,178176,35,0.0003,-0.40247605480253695,860,8.57002103589475,0.2,0.185498046875,0.0022025341051630674,0.07403018,0.7737720608711243,0.8816773369908333
991.62,417.97458637000005,88,5041,180224,35,0.0003,-0.28487396058626474,870,17.459339219331742,0.2,0.171337890625,0.0012267495738342404,0.072546676,3.4529190063476562,0.7825199663639069
991.62,423.0654636600001,89,5093,182272,35,0.0003,-0.35131487939506767,880,10.534714961796999,0.2,0.182568359375,0.007906326468219049,0.027381267,2.217562437057495,0.6241779029369354
991.62,432.02734233,90,5145,184320,35,0.0003,-0.4331107997335494,890,9.788561702519655,0.2,0.192333984375,-0.00108612316835206,0.036512222,0.9246225953102112,0.8857032656669617
991.62,428.69632504000003,91,5193,186368,35,0.0003,-0.3391127868089825,900,7.03840948343277,0.2,0.174951171875,0.014249760314123705,0.030531866,1.0266090631484985,0.6396299302577972
991.62,431.01762492999995,92,5242,188416,35,0.0003,-0.8406354788690805,910,2.1660524060949684,0.2,0.251953125,-0.013060921417491045,0.0999747,0.6994137167930603,0.977051205933094
991.62,424.9749596,93,5293,190464,35,0.0003,-0.40264572473242877,920,6.411499877087772,0.2,0.189404296875,-0.0009076836540771183,0.047618654,1.7018412351608276,0.8856601566076279
991.62,421.23671038,94,5343,192512,36,0.0003,-0.5873774696141482,930,6.890133629180491,0.2,0.225390625,0.001633570903504733,0.033256948,0.7759672999382019,0.8542865216732025
